procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 316812 141672 1988720    0    0   889   559  609  993 20  6 73  1  0
 0  0      0 328404 141672 1988716    0    0     0     0  468  697  4  2 94  0  0
 0  0      0 328404 141680 1988716    0    0     0   104  428  435  5  1 95  0  0
 0  0      0 328404 141680 1988716    0    0     0     0  307  424  4  1 95  0  0
 0  0      0 328404 141680 1988716    0    0     0     0  380  425  6  1 94  0  0
 0  0      0 328404 141680 1988716    0    0     0     0  391  494  4  1 96  0  0
 1  0      0 328404 141680 1988716    0    0     0     0  768 1006  5  2 93  0  0
 0  0      0 328388 141680 1988716    0    0     0     0  804 1071 25  2 73  0  0
 0  0      0 328388 141680 1988716    0    0     0     0  499  625  9  1 91  0  0
 0  0      0 328388 141696 1988716    0    0     0   100  548  758 12  2 86  0  0
 1  0      0 328388 141696 1988716    0    0     0     0  429  525  3  0 97  0  0
 1  0      0 328396 141696 1988716    0    0     0    68  376  340  4  0 96  0  0
 1  0      0 328396 141696 1988716    0    0     0     0  289  317  5  0 95  0  0
 0  0      0 328396 141696 1988716    0    0     0     0  410  525  4  1 95  0  0
 0  0      0 328396 141696 1988716    0    0     0     0  391  476  4  1 96  0  0
 0  0      0 328396 141696 1988716    0    0     0     0  379  475  5  1 95  0  0
 0  0      0 328396 141704 1988708    0    0     0    12  436  456  4  1 95  0  0
 4  0      0 323104 141704 1992048    0    0     0     0  452  633  7  2 91  0  0
 0  0      0 322348 141704 1992052    0    0     0     0  467  683 13  1 86  0  0
 0  0      0 322800 141704 1991796    0    0     0     0  412  518  3  1 96  0  0
